image,orientation,quantity,feature,n_link,e_link,s_link,w_link
Base_Game_C1_Tile_02.jpg,CCCF,3,
Base_Game_C1_Tile_03.jpg,CCCF,1,S
Base_Game_C1_Tile_04.jpg,CCCR,2,S
Base_Game_C1_Tile_05.jpg,CCCR,1,
Base_Game_C1_Tile_06.jpg,CCFF,3,
Base_Game_C1_Tile_07.jpg,CCFF,2,S
Base_Game_C1_Tile_08.jpg,CCFF,2,1,2,,
Base_Game_C1_Tile_09.jpg,CCRR,3,
Base_Game_C1_Tile_10.jpg,CCRR,2,S
Base_Game_C1_Tile_11.jpg,CFCF,3,
Base_Game_C1_Tile_12.jpg,CFCF,2,S
Base_Game_C1_Tile_13.jpg,CFCF,1,,1,2,1,3
Base_Game_C1_Tile_14.jpg,CFFF,5,
Base_Game_C1_Tile_15.jpg,CFRR,3,
Base_Game_C1_Tile_16.jpg,CRFR,4,X
Base_Game_C1_Tile_17.jpg,CRRF,3,
Base_Game_C1_Tile_18.jpg,CRRR,3,
Base_Game_C1_Tile_19.jpg,FFFF,4,A
Base_Game_C1_Tile_20.jpg,FFFR,2,A
Base_Game_C1_Tile_21.jpg,FFRR,9,
Base_Game_C1_Tile_22.jpg,FRFR,8,
Base_Game_C1_Tile_23.jpg,FRRR,4,
Base_Game_C1_Tile_24.jpg,RRRR,1,
